id,title,author,year,page
1,Harry Potter and the Philosopher's Stone,J.K. Rowling, September 2000 - Januari 2008,5248 halaman
2,The Great Gatsby,F. Scott Fitzgerald,10 April 1925,180 (edisi paperback 2004)
3,To Kill a Mockingbird,Harper Lee,11 Juli 1960,296 (edisi pertama, hardback)
4,1984, George Orwell,8 Juni 1949,328 halaman
5, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
6, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
7, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
8, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
9, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
10, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
11, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
12, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
13, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
14, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
15, The Alchemist, Paulo Coelho, 1988, 208 halaman
16, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
17, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
18, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
19, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
20, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
21, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
22, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
23, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
24, War and Peace, Leo Tolstoy, 1869, 1225 halaman
25, The Count of Monte Cristo, Alexandre Dumas, 28 Agustus 1844, 1276 halaman
26, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
27, Catch-22, Joseph Heller, 10 November 1961, 453 halaman
28, The Grapes of Wrath, John Steinbeck, 14 April 1939, 464 halaman
29, Lord of the Flies, William Golding, 17 September 1954, 224 halaman
30, 2001: A Space Odyssey, Arthur C. Clarke, 2 Maret 1968, 224 halaman
31, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
32, A Game of Thrones, George R.R. Martin, 6 Agustus 1996, 694 halaman
33, The Little Prince, Antoine de Saint-Exupéry, 6 April 1943, 96 halaman
34, The Name of the Wind, Patrick Rothfuss, 27 Maret 2007, 662 halaman
35, Gone with the Wind, Margaret Mitchell, 30 Juni 1936, 1037 halaman
36, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
37, The Shining, Stephen King, 28 Januari 1977, 447 halaman
38, The Old Man and the Sea, Ernest Hemingway, 1952, 128 halaman
39, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
40, The Girl with the Dragon Tattoo, Stieg Larsson, 2005, 672 halaman
41, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
42, The Adventures of Huckleberry Finn, Mark Twain, 10 Desember 1884, 366 halaman
43, The Stand, Stephen King, 1978, 1153 halaman
44, Les Misérables, Victor Hugo, 3 April 1862, 1463 halaman
45, The Brothers Karamazov, Fyodor Dostoevsky, November 1880, 796 halaman
46, A Wrinkle in Time, Madeleine L'Engle, 1962, 256 halaman
47, The Canterbury Tales, Geoffrey Chaucer, Abad ke-14, 528 halaman
48, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
49, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
50, The War of the Worlds, H.G. Wells, 1898, 288 halaman
51, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
52, One Hundred Years of Solitude, Gabriel García Márquez, 1967, 417 halaman
53, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
54, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
55, The Divine Comedy, Dante Alighieri, 14 September 1321, 432 halaman
56, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
57, Crime and Punishment, Fyodor Dostoevsky, 1866, 671 halaman
58, Anna Karenina, Leo Tolstoy, 1877, 864 halaman
59, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
60, The Stranger, Albert Camus, 1942, 123 halaman
61, Slaughterhouse-Five, Kurt Vonnegut, 31 Maret 1969, 275 halaman
62, The Sun Also Rises, Ernest Hemingway, 22 Oktober 1926, 251 halaman
63, The Girl on the Train, Paula Hawkins, 13 Januari 2015, 325 halaman
64, The Outsiders, S.E. Hinton, 1967, 192 halaman
65, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
66, The Book Thief, Markus Zusak, 2005, 584 halaman
67, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
68, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
69, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
70, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
71, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
72, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
73, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
74, The Trial, Franz Kafka, 26 April 1925, 255 halaman
