id,title,author,publisher,year,page,BookContents
1,Laskar Pelangi,Andrea Hirata,Bentang Pustaka,2005,529 halaman,Membahas tentang perjalanan si Ikal ketika menempuh pendidikan di Belitong bersama teman-temannya yang menyenangkan.
2,Raja yang Terpenjara,Khalil Gibran,Yayasan Bentang Budaya,1999,165 halaman,mencertikan keluh keras seorang raja yang mana tidak memiliki berbagai kekuasaan untuk melakukan suatu hal sehingga mengalami kesulitan untuk mengambil sebuah keputusan untuk rakyatnya yang memiliki keluh keash.
3,Surat Kecil untuk Tuhan,Agnes Davonner,Inandra Published,2008,232 halaman,menceritakan tentang perjuangan seorang gadis untuk bertahan hidup melawan kanker yang mana dideritanya.
4, London, Windry Ramadhina, PT.Gramedia Pustaka Utama, 2015, 327 halaman, Gilang yang cinta kepada sahabatnya Ning yang mana Ning akan pergi ke London untuk mengejar cita-citanya, Gilang akan berjuang ke London untuk mengukapkan rasa cintanya.
5, Rumah Kaca, Pramoedya Ananta Toer, Lentera Dipantera, 1988, 646 halaman, menceritakan tentang berbagai usaha kolonial untuk menghanurkan pergerakan-pergerakan kaum sehingga disebut politik arsip dengan kegiatan permuah kacaan karena sulit untuk bergerak.
6, Harry Potter and the Philosopher's Stone, J.K. Rowling, Gramedia Pustaka Utama, 2000, 332 halaman, Petualangan seorang penyihir muda bernama Harry Potter di sekolah sihir Hogwarts.
7, Negeri Para Bedebah, Tere Liye, Gramedia Pustaka Utama, 2014, 432 halaman, Mengisahkan kisah persahabatan dan perjuangan sekelompok remaja dalam menghadapi tantangan kehidupan.
8, Laut Bercerita, Leila S. Chudori, Kepustakaan Populer Gramedia, 2012, 400 halaman, Novel yang menggambarkan kisah keluarga dan sejarah Indonesia di masa lalu.
9, Perahu Kertas 2, Dee Lestari, Bentang Pustaka, 2013, 464 halaman, Melanjutkan kisah cinta dan perjalanan hidup Kugy dan Keenan dari novel sebelumnya.
10, Dilan: Dia adalah Dilanku Tahun 1990, Pidi Baiq, Dar Mizan, 2014, 332 halaman, Kisah romantis remaja tentang Dilan, seorang anak laki-laki yang jatuh cinta pada Milea.
11, Filosofi Kopi, Dewi Lestari, Bentang Pustaka, 2006, 248 halaman, Mengisahkan tentang perjalanan dua sahabat, Ben dan Jody, dalam mengejar impian dan menjalani kehidupan di kafe mereka.
12, Radikus Makankakus: Bukan Binatang Biasa, Raditya Dika, Gagas Media, 2008, 224 halaman, Kumpulan cerita humor tentang pengalaman pribadi penulis dalam berbagai situasi kocak.
13, Supernova: Akar, Dee Lestari, Bentang Pustaka, 2014, 456 halaman, Melanjutkan kisah tokoh-tokoh dalam dunia Supernova yang menghadapi dilema dan pertanyaan eksistensial.
